F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_01_652.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_01_652.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_01_652.jpg,0,0,0,5.046462E-05
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_01_730.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_01_730.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_01_730.jpg,0,0,0,5.055106E-05
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_01_806.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_01_806.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_01_806.jpg,0,0,0,5.054873E-05
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_01_885.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_01_885.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_01_885.jpg,0,0,0,5.103708E-05
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_01_963.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_01_963.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_01_963.jpg,0,0,0,5.089839E-05
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_042.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_042.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_042.jpg,0,0,0,5.049794E-05
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_123.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_123.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_123.jpg,0,0.1065148,0,0.0553878
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_200.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_200.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_200.jpg,0,0.3434468,0,0.3091238
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_279.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_279.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_279.jpg,0.03007519,0.5812157,0,0.6105447
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_358.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_358.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_358.jpg,0.1052632,0.8174535,0,1.315569
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_437.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_437.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_437.jpg,0.2030075,1,0,2.18818
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_515.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_515.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_515.jpg,0.4210526,1,0,3.092506
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_594.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_594.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_594.jpg,0.4962406,1,0,4.019742
F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\center_2018_09_13_20_14_02_673.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\left_2018_09_13_20_14_02_673.jpg,F:\che\CarND-Term1-Starter-Kit\CarND-Behavioral-Cloning-P3-master\data5\IMG\right_2018_09_13_20_14_02_673.jpg,0.5112782,1,0,4.944102
